Dates;InfectadosNoVacunados;InfectadosPrimeraDosis;InfectadosEsquemaCompleto;InfectadosDosisRefuerzo;InfectadosTotal;HospitalizadosNoVacunados;HospitalizadosPrimeraDosis;HospitalizadosEsquemaCompleto;HospitalizadosDosisRefuerzo;HospitalizadosTotal;MuertesNoVacunados;MuertesPrimeraDosis;MuertesEsquemaCompleto;MuertesDosisRefuerzo;MuertesTotal
6/03/2020 0:00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7/03/2020 0:00;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0
8/03/2020 0:00;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0
9/03/2020 0:00;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0
10/03/2020 0:00;3;0;0;0;3;2;0;0;0;2;0;0;0;0;0
11/03/2020 0:00;3;0;0;0;3;2;0;0;0;2;0;0;0;0;0
12/03/2020 0:00;9;0;0;0;9;5;0;0;0;5;1;0;0;0;1
13/03/2020 0:00;13;0;0;0;13;8;0;0;0;8;1;0;0;0;1
14/03/2020 0:00;17;0;0;0;17;10;0;0;0;10;1;0;0;0;1
15/03/2020 0:00;33;0;0;0;33;14;0;0;0;14;1;0;0;0;1
16/03/2020 0:00;53;0;0;0;53;19;0;0;0;19;2;0;0;0;2
17/03/2020 0:00;65;0;0;0;65;25;0;0;0;25;3;0;0;0;3
18/03/2020 0:00;91;0;0;0;91;29;0;0;0;29;3;0;0;0;3
19/03/2020 0:00;97;0;0;0;97;34;0;0;0;34;2;0;0;0;2
20/03/2020 0:00;119;0;0;0;119;46;0;0;0;46;2;0;0;0;2
21/03/2020 0:00;162;0;0;0;162;59;0;0;0;59;2;0;0;0;2
22/03/2020 0:00;180;0;0;0;180;70;0;0;0;70;2;0;0;0;2
23/03/2020 0:00;189;0;0;0;189;83;0;0;0;83;3;0;0;0;3
24/03/2020 0:00;248;0;0;0;248;98;0;0;0;98;3;0;0;0;3
25/03/2020 0:00;327;0;0;0;327;120;0;0;0;120;4;0;0;0;4
26/03/2020 0:00;376;0;0;0;376;137;0;0;0;137;8;0;0;0;8
27/03/2020 0:00;360;0;0;0;360;170;0;0;0;170;10;0;0;0;10
28/03/2020 0:00;361;0;0;0;361;194;0;0;0;194;13;0;0;0;13
29/03/2020 0:00;396;0;0;0;396;213;0;0;0;213;18;0;0;0;18
30/03/2020 0:00;462;0;0;0;462;250;0;0;0;250;17;0;0;0;17
31/03/2020 0:00;485;0;0;0;485;282;0;0;0;282;21;0;0;0;21
1/04/2020 0:00;488;0;0;0;488;323;0;0;0;323;25;0;0;0;25
2/04/2020 0:00;589;0;0;0;589;353;0;0;0;353;25;0;0;0;25
3/04/2020 0:00;677;0;0;0;677;362;0;0;0;362;30;0;0;0;30
4/04/2020 0:00;734;0;0;0;734;384;0;0;0;384;41;0;0;0;41
5/04/2020 0:00;804;0;0;0;804;394;0;0;0;394;52;0;0;0;52
6/04/2020 0:00;788;0;0;0;788;376;0;0;0;376;59;0;0;0;59
7/04/2020 0:00;790;0;0;0;790;371;0;0;0;371;66;0;0;0;66
8/04/2020 0:00;814;0;0;0;814;345;0;0;0;345;70;0;0;0;70
9/04/2020 0:00;998;0;0;0;998;328;0;0;0;328;71;0;0;0;71
10/04/2020 0:00;1073;0;0;0;1073;310;0;0;0;310;78;0;0;0;78
11/04/2020 0:00;1218;0;0;0;1218;283;0;0;0;283;69;0;0;0;69
12/04/2020 0:00;1314;0;0;0;1314;281;0;0;0;281;62;0;0;0;62
13/04/2020 0:00;1304;0;0;0;1304;268;0;0;0;268;66;0;0;0;66
14/04/2020 0:00;1281;0;0;0;1281;245;0;0;0;245;61;0;0;0;61
15/04/2020 0:00;1272;0;0;0;1272;242;0;0;0;242;63;0;0;0;63
16/04/2020 0:00;1052;0;0;0;1052;232;0;0;0;232;70;0;0;0;70
17/04/2020 0:00;1006;0;0;0;1006;224;0;0;0;224;72;0;0;0;72
18/04/2020 0:00;959;0;0;0;959;220;0;0;0;220;72;0;0;0;72
19/04/2020 0:00;910;0;0;0;910;218;0;0;0;218;76;0;0;0;76
20/04/2020 0:00;1016;0;0;0;1016;230;0;0;0;230;73;0;0;0;73
21/04/2020 0:00;1123;0;0;0;1123;231;0;0;0;231;76;0;0;0;76
22/04/2020 0:00;1175;0;0;0;1175;227;0;0;0;227;75;0;0;0;75
23/04/2020 0:00;1243;0;0;0;1243;225;0;0;0;225;72;0;0;0;72
24/04/2020 0:00;1311;0;0;0;1311;237;0;0;0;237;66;0;0;0;66
25/04/2020 0:00;1412;0;0;0;1412;244;0;0;0;244;76;0;0;0;76
26/04/2020 0:00;1489;0;0;0;1489;243;0;0;0;243;74;0;0;0;74
27/04/2020 0:00;1553;0;0;0;1553;268;0;0;0;268;83;0;0;0;83
28/04/2020 0:00;1588;0;0;0;1588;304;0;0;0;304;84;0;0;0;84
29/04/2020 0:00;1767;0;0;0;1767;301;0;0;0;301;87;0;0;0;87
30/04/2020 0:00;1833;0;0;0;1833;328;0;0;0;328;99;0;0;0;99
1/05/2020 0:00;1948;0;0;0;1948;356;0;0;0;356;115;0;0;0;115
2/05/2020 0:00;2122;0;0;0;2122;373;0;0;0;373;113;0;0;0;113
3/05/2020 0:00;2140;0;0;0;2140;406;0;0;0;406;123;0;0;0;123
4/05/2020 0:00;2322;0;0;0;2322;395;0;0;0;395;124;0;0;0;124
5/05/2020 0:00;2413;0;0;0;2413;397;0;0;0;397;134;0;0;0;134
6/05/2020 0:00;2701;0;0;0;2701;440;0;0;0;440;141;0;0;0;141
7/05/2020 0:00;2793;0;0;0;2793;457;0;0;0;457;145;0;0;0;145
8/05/2020 0:00;2981;0;0;0;2981;464;0;0;0;464;147;0;0;0;147
9/05/2020 0:00;3096;0;0;0;3096;493;0;0;0;493;156;0;0;0;156
10/05/2020 0:00;3261;0;0;0;3261;498;0;0;0;498;155;0;0;0;155
11/05/2020 0:00;3414;0;0;0;3414;538;0;0;0;538;155;0;0;0;155
12/05/2020 0:00;3660;0;0;0;3660;574;0;0;0;574;168;0;0;0;168
13/05/2020 0:00;3684;0;0;0;3684;589;0;0;0;589;161;0;0;0;161
14/05/2020 0:00;3985;0;0;0;3985;609;0;0;0;609;150;0;0;0;150
15/05/2020 0:00;4168;0;0;0;4168;623;0;0;0;623;145;0;0;0;145
16/05/2020 0:00;4177;0;0;0;4177;643;0;0;0;643;150;0;0;0;150
17/05/2020 0:00;4459;0;0;0;4459;675;0;0;0;675;150;0;0;0;150
18/05/2020 0:00;4529;0;0;0;4529;680;0;0;0;680;157;0;0;0;157
19/05/2020 0:00;4699;0;0;0;4699;693;0;0;0;693;151;0;0;0;151
20/05/2020 0:00;4679;0;0;0;4679;707;0;0;0;707;170;0;0;0;170
21/05/2020 0:00;4804;0;0;0;4804;754;0;0;0;754;188;0;0;0;188
22/05/2020 0:00;4773;0;0;0;4773;789;0;0;0;789;196;0;0;0;196
23/05/2020 0:00;4990;0;0;0;4990;790;0;0;0;790;215;0;0;0;215
24/05/2020 0:00;5281;0;0;0;5281;837;0;0;0;837;240;0;0;0;240
25/05/2020 0:00;5648;0;0;0;5648;884;0;0;0;884;256;0;0;0;256
26/05/2020 0:00;5729;0;0;0;5729;903;0;0;0;903;256;0;0;0;256
27/05/2020 0:00;6114;0;0;0;6114;934;0;0;0;934;276;0;0;0;276
28/05/2020 0:00;6443;0;0;0;6443;955;0;0;0;955;285;0;0;0;285
29/05/2020 0:00;7046;0;0;0;7046;957;0;0;0;957;298;0;0;0;298
30/05/2020 0:00;7566;0;0;0;7566;1012;0;0;0;1012;305;0;0;0;305
31/05/2020 0:00;8112;0;0;0;8112;1002;0;0;0;1002;314;0;0;0;314
1/06/2020 0:00;8247;0;0;0;8247;1018;0;0;0;1018;323;0;0;0;323
2/06/2020 0:00;8590;0;0;0;8590;1070;0;0;0;1070;350;0;0;0;350
3/06/2020 0:00;8851;0;0;0;8851;1107;0;0;0;1107;360;0;0;0;360
4/06/2020 0:00;9267;0;0;0;9267;1149;0;0;0;1149;406;0;0;0;406
5/06/2020 0:00;9741;0;0;0;9741;1217;0;0;0;1217;427;0;0;0;427
6/06/2020 0:00;9876;0;0;0;9876;1280;0;0;0;1280;454;0;0;0;454
7/06/2020 0:00;9682;0;0;0;9682;1334;0;0;0;1334;471;0;0;0;471
8/06/2020 0:00;9761;0;0;0;9761;1364;0;0;0;1364;498;0;0;0;498
9/06/2020 0:00;10085;0;0;0;10085;1429;0;0;0;1429;521;0;0;0;521
10/06/2020 0:00;10169;0;0;0;10169;1488;0;0;0;1488;543;0;0;0;543
11/06/2020 0:00;10262;0;0;0;10262;1516;0;0;0;1516;534;0;0;0;534
12/06/2020 0:00;10492;0;0;0;10492;1571;0;0;0;1571;553;0;0;0;553
13/06/2020 0:00;10291;0;0;0;10291;1568;0;0;0;1568;560;0;0;0;560
14/06/2020 0:00;11146;0;0;0;11146;1594;0;0;0;1594;575;0;0;0;575
15/06/2020 0:00;12208;0;0;0;12208;1628;0;0;0;1628;619;0;0;0;619
16/06/2020 0:00;12432;0;1;0;12433;1642;0;0;0;1642;648;0;0;0;648
17/06/2020 0:00;13345;0;1;0;13346;1699;0;0;0;1699;683;0;0;0;683
18/06/2020 0:00;13288;0;1;0;13289;1743;0;0;0;1743;722;0;0;0;722
19/06/2020 0:00;14408;0;1;0;14409;1772;0;0;0;1772;775;0;0;0;775
20/06/2020 0:00;16226;0;1;0;16227;1822;0;0;0;1822;807;0;0;0;807
21/06/2020 0:00;16531;0;1;0;16532;1844;0;0;0;1844;847;0;0;0;847
22/06/2020 0:00;17103;0;1;0;17104;1886;0;0;0;1886;875;0;0;0;875
23/06/2020 0:00;18480;0;0;0;18480;1927;0;0;0;1927;917;0;0;0;917
24/06/2020 0:00;19370;0;0;0;19370;1969;0;0;0;1969;943;0;0;0;943
25/06/2020 0:00;20623;0;0;0;20623;2065;0;0;0;2065;980;0;0;0;980
26/06/2020 0:00;21138;0;0;0;21138;2120;0;0;0;2120;994;0;0;0;994
27/06/2020 0:00;22646;0;0;0;22646;2195;0;0;0;2195;1026;0;0;0;1026
28/06/2020 0:00;24395;0;0;0;24395;2283;0;0;0;2283;1054;0;0;0;1054
29/06/2020 0:00;25393;0;0;0;25393;2351;0;0;0;2351;1053;0;0;0;1053
30/06/2020 0:00;24524;0;0;0;24524;2413;0;0;0;2413;1069;0;0;0;1069
1/07/2020 0:00;23460;0;0;0;23460;2499;0;0;0;2499;1090;0;0;0;1090
2/07/2020 0:00;25198;0;0;0;25198;2571;0;0;0;2571;1098;0;0;0;1098
3/07/2020 0:00;25927;0;0;0;25927;2699;0;0;0;2699;1127;0;0;0;1127
4/07/2020 0:00;25292;0;0;0;25292;2834;0;0;0;2834;1169;0;0;0;1169
5/07/2020 0:00;25509;0;0;0;25509;2954;0;0;0;2954;1173;0;0;0;1173
6/07/2020 0:00;25558;0;0;0;25558;3109;0;0;0;3109;1209;0;0;0;1209
7/07/2020 0:00;27021;0;0;0;27021;3348;0;0;0;3348;1250;0;0;0;1250
8/07/2020 0:00;30012;0;0;0;30012;3581;0;0;0;3581;1312;0;0;0;1312
9/07/2020 0:00;30238;0;0;0;30238;3790;0;0;0;3790;1357;0;0;0;1357
10/07/2020 0:00;32370;0;0;0;32370;4021;0;0;0;4021;1401;0;0;0;1401
11/07/2020 0:00;35996;0;0;0;35996;4210;0;0;0;4210;1424;0;0;0;1424
12/07/2020 0:00;38220;0;0;0;38220;4358;0;0;0;4358;1494;0;0;0;1494
13/07/2020 0:00;39956;0;0;0;39956;4491;0;0;0;4491;1532;0;0;0;1532
14/07/2020 0:00;43643;0;0;0;43643;4622;0;0;0;4622;1594;0;0;0;1594
15/07/2020 0:00;46402;0;0;0;46402;4696;0;0;0;4696;1604;0;0;0;1604
16/07/2020 0:00;48729;0;0;0;48729;4796;0;0;0;4796;1655;0;0;0;1655
17/07/2020 0:00;49953;0;0;0;49953;4842;0;0;0;4842;1689;0;0;0;1689
18/07/2020 0:00;45969;0;0;0;45969;4937;0;0;0;4937;1777;0;0;0;1777
19/07/2020 0:00;45091;0;0;0;45091;5046;0;0;0;5046;1828;0;0;0;1828
20/07/2020 0:00;47372;0;1;0;47373;5147;0;0;0;5147;1873;0;0;0;1873
21/07/2020 0:00;46427;0;1;0;46428;5110;0;0;0;5110;1882;0;0;0;1882
22/07/2020 0:00;47740;0;1;0;47741;5224;0;0;0;5224;1982;0;0;0;1982
23/07/2020 0:00;52036;0;1;0;52037;5270;0;0;0;5270;2040;0;0;0;2040
24/07/2020 0:00;51918;0;1;0;51919;5316;0;0;0;5316;2104;0;0;0;2104
25/07/2020 0:00;57769;0;1;0;57770;5320;0;0;0;5320;2128;0;0;0;2128
26/07/2020 0:00;59221;0;1;0;59222;5342;0;0;0;5342;2153;0;0;0;2153
27/07/2020 0:00;56571;0;0;0;56571;5317;0;0;0;5317;2203;0;0;0;2203
28/07/2020 0:00;60404;0;0;0;60404;5466;0;0;0;5466;2266;0;0;0;2266
29/07/2020 0:00;65825;0;0;0;65825;5499;0;0;0;5499;2271;0;0;0;2271
30/07/2020 0:00;64733;0;0;0;64733;5513;0;0;0;5513;2308;0;0;0;2308
31/07/2020 0:00;66430;0;0;0;66430;5477;0;0;0;5477;2370;0;0;0;2370
1/08/2020 0:00;63936;0;0;0;63936;5639;0;0;0;5639;2401;0;0;0;2401
2/08/2020 0:00;67272;0;0;0;67272;5697;0;0;0;5697;2426;0;0;0;2426
3/08/2020 0:00;72750;0;0;0;72750;5718;0;0;0;5718;2434;0;0;0;2434
4/08/2020 0:00;71374;0;0;0;71374;5588;0;0;0;5588;2463;0;0;0;2463
5/08/2020 0:00;68470;0;0;0;68470;5512;0;0;0;5512;2445;0;0;0;2445
6/08/2020 0:00;68669;0;0;0;68669;5548;0;0;0;5548;2428;0;0;0;2428
7/08/2020 0:00;69367;0;0;0;69367;5450;0;0;0;5450;2389;0;0;0;2389
8/08/2020 0:00;72825;0;0;0;72825;5182;0;0;0;5182;2382;0;0;0;2382
9/08/2020 0:00;73269;0;0;0;73269;5042;0;0;0;5042;2436;0;0;0;2436
10/08/2020 0:00;69246;0;0;0;69246;4895;0;0;0;4895;2457;0;0;0;2457
11/08/2020 0:00;69057;0;0;0;69057;4855;0;0;0;4855;2416;0;0;0;2416
12/08/2020 0:00;74940;0;0;0;74940;4698;0;0;0;4698;2444;0;0;0;2444
13/08/2020 0:00;74038;0;0;0;74038;4490;0;0;0;4490;2409;0;0;0;2409
14/08/2020 0:00;77985;0;0;0;77985;4468;0;0;0;4468;2411;0;0;0;2411
15/08/2020 0:00;75173;0;0;0;75173;4384;0;0;0;4384;2360;0;0;0;2360
16/08/2020 0:00;75522;0;0;0;75522;4290;0;0;0;4290;2284;0;0;0;2284
17/08/2020 0:00;82205;0;0;0;82205;4244;0;0;0;4244;2243;0;0;0;2243
18/08/2020 0:00;83644;0;0;0;83644;4111;0;0;0;4111;2217;0;0;0;2217
19/08/2020 0:00;73669;0;0;0;73669;4130;0;0;0;4130;2187;0;0;0;2187
20/08/2020 0:00;77848;0;0;0;77848;4052;0;0;0;4052;2221;0;0;0;2221
21/08/2020 0:00;76219;0;0;0;76219;4001;0;0;0;4001;2174;0;0;0;2174
22/08/2020 0:00;79101;0;0;0;79101;3989;0;0;0;3989;2193;0;0;0;2193
23/08/2020 0:00;76610;0;0;0;76610;3949;0;0;0;3949;2165;0;0;0;2165
24/08/2020 0:00;70729;0;0;0;70729;3907;0;0;0;3907;2137;0;0;0;2137
25/08/2020 0:00;70573;0;0;0;70573;4003;0;0;0;4003;2131;0;0;0;2131
26/08/2020 0:00;73966;0;0;0;73966;3974;0;0;0;3974;2105;0;0;0;2105
27/08/2020 0:00;69785;1;0;0;69786;3906;0;0;0;3906;2037;0;0;0;2037
28/08/2020 0:00;66469;1;0;0;66470;3890;1;0;0;3891;2045;0;0;0;2045
29/08/2020 0:00;65289;1;0;0;65290;3818;1;0;0;3819;2018;0;0;0;2018
30/08/2020 0:00;63361;1;0;0;63362;3735;1;0;0;3736;2021;0;0;0;2021
31/08/2020 0:00;62016;1;0;0;62017;3663;1;0;0;3664;1968;0;0;0;1968
1/09/2020 0:00;61422;1;0;0;61423;3539;1;0;0;3540;1938;0;0;0;1938
2/09/2020 0:00;59435;1;0;0;59436;3351;1;0;0;3352;1902;0;0;0;1902
3/09/2020 0:00;59550;0;0;0;59550;3323;1;0;0;3324;1893;0;0;0;1893
4/09/2020 0:00;57217;0;0;0;57217;3253;0;0;0;3253;1833;0;0;0;1833
5/09/2020 0:00;56322;0;0;0;56322;3299;0;0;0;3299;1798;0;0;0;1798
6/09/2020 0:00;56787;0;0;0;56787;3331;0;0;0;3331;1759;0;0;0;1759
7/09/2020 0:00;54568;0;0;0;54568;3332;0;0;0;3332;1772;0;0;0;1772
8/09/2020 0:00;53432;0;0;0;53432;3339;0;0;0;3339;1751;0;0;0;1751
9/09/2020 0:00;51822;0;0;0;51822;3367;0;0;0;3367;1730;0;0;0;1730
10/09/2020 0:00;51045;0;0;0;51045;3384;0;0;0;3384;1688;0;0;0;1688
11/09/2020 0:00;54026;0;0;0;54026;3355;0;0;0;3355;1662;0;0;0;1662
12/09/2020 0:00;52738;0;0;0;52738;3269;0;0;0;3269;1633;0;0;0;1633
13/09/2020 0:00;51845;0;0;0;51845;3252;0;0;0;3252;1608;0;0;0;1608
14/09/2020 0:00;51576;0;0;0;51576;3240;0;0;0;3240;1582;0;0;0;1582
15/09/2020 0:00;51364;0;0;0;51364;3236;0;0;0;3236;1556;0;0;0;1556
16/09/2020 0:00;52436;0;0;0;52436;3241;0;0;0;3241;1522;0;0;0;1522
17/09/2020 0:00;51137;0;0;0;51137;3215;0;0;0;3215;1523;0;0;0;1523
18/09/2020 0:00;49962;0;0;0;49962;3162;0;0;0;3162;1522;0;0;0;1522
19/09/2020 0:00;50540;0;0;0;50540;3156;0;0;0;3156;1486;0;0;0;1486
20/09/2020 0:00;49876;0;0;0;49876;3112;0;0;0;3112;1488;0;0;0;1488
21/09/2020 0:00;50526;0;0;0;50526;3106;0;0;0;3106;1450;0;0;0;1450
22/09/2020 0:00;50452;0;0;0;50452;3057;0;0;0;3057;1464;0;0;0;1464
23/09/2020 0:00;49648;0;0;0;49648;3096;0;0;0;3096;1463;0;0;0;1463
24/09/2020 0:00;52235;0;0;0;52235;3055;0;0;0;3055;1443;0;0;0;1443
25/09/2020 0:00;52414;0;0;0;52414;3058;0;0;0;3058;1415;0;0;0;1415
26/09/2020 0:00;50808;0;0;0;50808;2971;0;0;0;2971;1410;0;0;0;1410
27/09/2020 0:00;51605;0;0;0;51605;2982;0;0;0;2982;1390;0;0;0;1390
28/09/2020 0:00;51565;0;0;0;51565;2949;0;0;0;2949;1416;0;0;0;1416
29/09/2020 0:00;50705;0;0;0;50705;2938;0;0;0;2938;1392;0;0;0;1392
30/09/2020 0:00;50501;0;0;0;50501;2798;0;0;0;2798;1386;0;0;0;1386
1/10/2020 0:00;48238;0;0;0;48238;2793;0;0;0;2793;1382;0;0;0;1382
2/10/2020 0:00;48546;0;0;0;48546;2850;0;0;0;2850;1398;0;0;0;1398
3/10/2020 0:00;52646;0;0;0;52646;2931;0;0;0;2931;1418;0;0;0;1418
4/10/2020 0:00;54312;0;0;0;54312;2934;0;0;0;2934;1398;0;0;0;1398
5/10/2020 0:00;54937;0;0;0;54937;2985;0;0;0;2985;1390;0;0;0;1390
6/10/2020 0:00;53968;1;0;0;53969;3046;0;0;0;3046;1368;0;0;0;1368
7/10/2020 0:00;52283;1;0;0;52284;3113;0;0;0;3113;1380;0;0;0;1380
8/10/2020 0:00;53038;1;0;0;53039;3096;0;0;0;3096;1361;0;0;0;1361
9/10/2020 0:00;53795;1;0;0;53796;3065;0;0;0;3065;1328;0;0;0;1328
10/10/2020 0:00;51826;1;0;0;51827;2997;0;0;0;2997;1301;0;0;0;1301
11/10/2020 0:00;49665;1;0;0;49666;2973;0;0;0;2973;1323;0;0;0;1323
12/10/2020 0:00;49885;2;0;0;49887;2970;0;0;0;2970;1343;0;0;0;1343
13/10/2020 0:00;47920;1;0;0;47921;2839;0;0;0;2839;1363;0;0;0;1363
